label,statement,len
false,Says the Annies List political group supports third-trimester abortions on demand.,82
true,When did the decline of coal start? It started when natural gas took off that started to begin in (President George W.) Bushs administration.,141
true,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""",105
false,Health care reform legislation is likely to mandate free sex change surgeries.,78
true,The economic turnaround started at the end of my term.,54
true,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,155
false,Jim Dunnam has not lived in the district he represents for years now.,69
true,"I'm the only person on this stage who has worked actively just last year passing, along with Russ Feingold, some of the toughest ethics reform since Watergate.",159
true,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",144
true,Says GOP primary opponents Glenn Grothman and Joe Leibham cast a compromise vote that cost $788 million in higher electricity costs.,132
true,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",116
true,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",94
false,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",124
true,The economy bled $24 billion due to the government shutdown.,60
false,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,95
true,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",181
true,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,146
false,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",116
true,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",125
true,"Almost 100,000 people left Puerto Rico last year.",49
false,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,117
true,The United States has the highest corporate tax rate in the free world.,71
true,We just had the best year for the auto industry in America in history.,70
true,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",85
false,Says Mitt Romney wants to get rid of Planned Parenthood.,56
false,I dont know who (Jonathan Gruber) is.,37
true,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,93
true,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,136
false,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",87
true,Youth unemployment in minority communities is about 40 to 45 percent.,69
true,Says Paul Ryan is still endorsing Trump.,40
false,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",132
false,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,171
true,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,84
true,Says Mark Pryor votes with Obama 93 percent of the time.,56
true,We have a federal government that thinks they have the authority to regulate our toilet seats.,94
true,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,94
true,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",200
false,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",131
true,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",127
false,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,108
true,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,87
false,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",104
false,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,136
false,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,145
true,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,93
false,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",92
false,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,97
false,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,129
true,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,78
false,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,134
false,"Maggie Hassan raised tuition, making it the highest in America.",63
false,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,91
true,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",162
false,"We have towns in West Texas that are out of water, that are having to truck in water.",85
true,"In Georgia, women earn 82 cents for every dollar earned by men.",63
true,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,169
false,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",129
false,Sen. Obama's campaign announced that he's choosing his cabinet.,63
true,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",109
false,Only 2 percent of public high schools in the country offer PE classes.,70
true,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",92
true,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",124
true,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",108
false,"Under Mayor Cicilline, [Providence] was a sanctuary city.",57
false,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,76
true,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",139
false,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",121
false,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,106
false,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,94
true,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",122
false,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",117
true,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",159
true,The only time in our history when the debt has been higher than this was the end of World War II.,97
true,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,97
